model,inf_time,input_size
regnetx_160,46.462039947509766,224
regnetx_320,83.30609798431396,224
regnety_002,8.403377532958984,224
regnety_004,10.536789894104004,224
regnety_006,8.488225936889648,224
regnety_008,7.886524200439454,224
regnety_016,13.470959663391113,224
regnety_032,19.82672691345215,224
regnety_040,18.93561363220215,224
regnety_064,29.897923469543457,224
regnety_080,31.541571617126465,224
regnety_120,41.16597652435303,224
regnety_160,49.3359375,224
regnety_320,85.53138256072998,224
repvgg_a2,14.071626663208008,224
repvgg_b0,10.207958221435547,224
repvgg_b1,30.732131004333496,224
repvgg_b1g4,23.635196685791016,224
repvgg_b2,43.73690605163574,224
repvgg_b2g4,32.729859352111816,224
repvgg_b3,58.29078197479248,224
repvgg_b3g4,42.10984706878662,224
res2net50_14w_8s,19.931621551513672,224
res2net50_26w_4s,18.613810539245605,224
res2net50_26w_6s,25.33853530883789,224
res2net50_26w_8s,32.513437271118164,224
res2net50_48w_2s,16.150851249694824,224
res2net101_26w_4s,32.021450996398926,224
res2next50,22.727723121643066,224
resmlp_12_224,9.229531288146973,224
resmlp_12_distilled_224,9.259696006774902,224
resmlp_24_224,19.492030143737793,224
resmlp_24_distilled_224,19.47744369506836,224
resmlp_36_224,29.919238090515137,224
resmlp_36_distilled_224,29.928746223449707,224
resmlp_big_24_224,250.56044101715085,224
resmlp_big_24_224_in22ft1k,253.47096920013428,224
resmlp_big_24_distilled_224,254.36962604522705,224
resnest14d,9.022374153137207,224
resnest26d,14.019970893859863,224
resnest50d,22.687349319458008,224
resnest50d_1s4x24d,20.965991020202637,224
resnest50d_4s2x40d,27.64625072479248,224
resnest101e,46.13165855407715,256
resnest200e,133.65328311920166,320
resnest269e,284.19756412506104,416
resnet18,4.715838432312012,224
resnet18d,5.619621276855469,224
resnet26,8.125395774841309,224
resnet26d,9.483180046081543,224
resnet26t,10.824518203735352,256
resnet34,9.783339500427246,224
resnet34d,9.987635612487793,224
resnet50,15.167431831359863,224
resnet50d,16.129937171936035,224
resnet50t,16.11619472503662,224
resnet51q,21.49923801422119,256
resnet61q,24.910683631896973,256
resnet101,27.36293315887451,224
resnet101d,32.439985275268555,256
resnet152,39.92835521697998,224
resnet152d,46.60845756530762,256
resnet200,52.87412166595459,224
resnet200d,61.77055358886719,256
resnetblur18,6.1737871170043945,224
resnetblur50,17.499189376831055,224
resnetrs50,12.101936340332031,160
resnetrs101,26.4046573638916,192
resnetrs152,54.99277114868164,256
resnetrs200,73.26552867889404,256
resnetrs270,97.40449905395508,256
resnetrs350,181.58576011657715,288
resnetrs420,223.41084003448486,320
resnetv2_50,14.701347351074219,224
resnetv2_50d,15.554804801940918,224
resnetv2_50t,15.431137084960938,224
resnetv2_50x1_bit_distilled,18.33988666534424,224
resnetv2_50x1_bitm,57.13950157165527,448
resnetv2_50x1_bitm_in21k,19.172697067260742,224
resnetv2_50x3_bitm,350.36104679107666,448
resnetv2_50x3_bitm_in21k,111.21020317077637,224
resnetv2_101,26.876630783081055,224
resnetv2_101d,27.639780044555664,224
resnetv2_101x1_bitm,100.3002405166626,448
resnetv2_101x1_bitm_in21k,33.293700218200684,224
resnetv2_101x3_bitm,662.6414155960083,448
resnetv2_101x3_bitm_in21k,204.0380859375,224
resnetv2_152,39.32698726654053,224
resnetv2_152d,40.0807523727417,224
resnetv2_152x2_bit_teacher,144.66519832611084,224
resnetv2_152x2_bit_teacher_384,339.4483757019043,384
resnetv2_152x2_bitm,467.8840732574463,448
resnetv2_152x2_bitm_in21k,147.52312660217285,224
resnetv2_152x4_bitm,1950.3839111328125,480
resnetv2_152x4_bitm_in21k,476.39336109161377,224
resnext50_32x4d,20.076041221618652,224
resnext50d_32x4d,20.77554702758789,224
resnext101_32x4d,38.781137466430664,224
resnext101_32x8d,63.98604869842529,224
resnext101_64x4d,59.45578098297119,224
rexnet_100,6.222710609436035,224
rexnet_130,8.168401718139648,224
rexnet_150,9.753813743591309,224
rexnet_200,13.386974334716797,224
rexnetr_100,6.329317092895508,224
rexnetr_130,8.247160911560059,224
rexnetr_150,9.553499221801758,224
rexnetr_200,13.493967056274414,224
selecsls42,9.1721773147583,224
selecsls42b,9.26229476928711,224
selecsls60,10.901265144348145,224
selecsls60b,10.995092391967773,224
selecsls84,18.82577896118164,224
semnasnet_050,4.461393356323242,224
semnasnet_075,4.448270797729492,224
semnasnet_100,4.743247032165527,224
semnasnet_140,6.990718841552734,224
senet154,86.3637924194336,224
seresnet18,5.620002746582031,224
seresnet34,10.771942138671875,224
seresnet50,18.057475090026855,224
seresnet50t,18.854598999023438,224
seresnet101,32.11106300354004,224
seresnet152,46.736273765563965,224
seresnet152d,54.23417568206787,256
seresnet200d,72.34971046447754,256
seresnet269d,96.1833381652832,256
seresnext26d_32x4d,13.282995223999023,224
seresnext26t_32x4d,13.265495300292969,224
seresnext26tn_32x4d,13.282771110534668,224
seresnext50_32x4d,22.793898582458496,224
seresnext101_32x4d,43.69001388549805,224
seresnext101_32x8d,67.69817352294922,224
skresnet18,7.423243522644043,224
skresnet34,14.171977043151855,224
skresnet50,19.657678604125977,224
skresnet50d,20.59889793395996,224
skresnext50_32x4d,29.83616352081299,224
spnasnet_100,4.385442733764648,224
ssl_resnet18,4.4867658615112305,224
ssl_resnet50,15.061616897583008,224
ssl_resnext50_32x4d,19.5095157623291,224
ssl_resnext101_32x4d,38.525381088256836,224
ssl_resnext101_32x8d,62.9861307144165,224
ssl_resnext101_32x16d,111.14494800567627,224
swin_base_patch4_window7_224,59.693360328674316,224
swin_base_patch4_window7_224_in22k,60.07211208343506,224
swin_base_patch4_window12_384,191.21912479400635,384
swin_base_patch4_window12_384_in22k,191.81914806365967,384
swin_large_patch4_window7_224,113.83357524871826,224
swin_large_patch4_window7_224_in22k,114.06698703765869,224
swin_large_patch4_window12_384,352.7800464630127,384
swin_large_patch4_window12_384_in22k,355.20689964294434,384
swin_small_patch4_window7_224,41.23812198638916,224
swin_tiny_patch4_window7_224,23.531804084777832,224
swinnet26t_256,13.057613372802734,256
swinnet50ts_256,19.28826332092285,256
swsl_resnet18,4.710888862609863,224
swsl_resnet50,15.495433807373047,224
swsl_resnext50_32x4d,19.918041229248047,224
swsl_resnext101_32x4d,38.977928161621094,224
swsl_resnext101_32x8d,64.37005043029785,224
swsl_resnext101_32x16d,112.55317211151123,224
tf_efficientnet_b0,6.958212852478027,224
tf_efficientnet_b0_ap,6.943764686584473,224
tf_efficientnet_b0_ns,6.946349143981934,224
tf_efficientnet_b1,11.376919746398926,240
tf_efficientnet_b1_ap,11.375012397766113,240
tf_efficientnet_b1_ns,11.278891563415527,240
tf_efficientnet_b2,14.498391151428223,260
tf_efficientnet_b2_ap,14.460382461547852,260
tf_efficientnet_b2_ns,14.470133781433105,260
tf_efficientnet_b3,24.239201545715332,300
tf_efficientnet_b3_ap,24.20581817626953,300
tf_efficientnet_b3_ns,24.40305233001709,300
tf_efficientnet_b4,49.523630142211914,380
tf_efficientnet_b4_ap,49.566359519958496,380
tf_efficientnet_b4_ns,49.537763595581055,380
tf_efficientnet_b5,99.22837734222412,456
tf_efficientnet_b5_ap,99.17076110839844,456
tf_efficientnet_b5_ns,99.34477806091309,456
tf_efficientnet_b6,174.3615198135376,528
tf_efficientnet_b6_ap,174.48013305664062,528
tf_efficientnet_b6_ns,174.39557075500488,528
tf_efficientnet_b7,301.5905284881592,600
tf_efficientnet_b7_ap,302.1819257736206,600
tf_efficientnet_b7_ns,302.053165435791,600
tf_efficientnet_b8,477.2827100753784,672
tf_efficientnet_b8_ap,477.4937629699707,672
tf_efficientnet_cc_b0_4e,9.468703269958496,224
tf_efficientnet_cc_b0_8e,9.21712875366211,224
tf_efficientnet_cc_b1_8e,14.92793083190918,240
tf_efficientnet_el,33.56455326080322,300
tf_efficientnet_em,14.865622520446777,240
tf_efficientnet_es,8.959579467773438,224
tf_efficientnet_l2_ns,-1.0,800
tf_efficientnet_l2_ns_475,891.537504196167,475
tf_efficientnet_lite0,5.513672828674316,224
tf_efficientnet_lite1,8.474836349487305,240
tf_efficientnet_lite2,10.740118026733398,260
tf_efficientnet_lite3,18.641881942749023,300
tf_efficientnet_lite4,40.37239074707031,380
tf_efficientnetv2_b0,6.592097282409668,192
tf_efficientnetv2_b1,7.972221374511719,192
tf_efficientnetv2_b2,8.95007610321045,208
tf_efficientnetv2_b3,13.591632843017578,240
tf_efficientnetv2_l,143.32333087921143,384
tf_efficientnetv2_l_in21ft1k,142.35178470611572,384
tf_efficientnetv2_l_in21k,142.50158309936523,384
tf_efficientnetv2_m,73.52193832397461,384
tf_efficientnetv2_m_in21ft1k,73.41248989105225,384
tf_efficientnetv2_m_in21k,73.74169826507568,384
tf_efficientnetv2_s,29.075298309326172,300
tf_efficientnetv2_s_in21ft1k,29.175047874450684,300
tf_efficientnetv2_s_in21k,29.462809562683105,300
tf_inception_v3,20.42433738708496,299
tf_mixnet_l,13.723182678222656,224
tf_mixnet_m,10.753583908081055,224
tf_mixnet_s,8.857221603393555,224
tf_mobilenetv3_large_075,4.569516181945801,224
tf_mobilenetv3_large_100,4.601101875305176,224
tf_mobilenetv3_large_minimal_100,3.445286750793457,224
tf_mobilenetv3_small_075,3.8963937759399414,224
tf_mobilenetv3_small_100,3.902597427368164,224
tf_mobilenetv3_small_minimal_100,2.6236581802368164,224
tnt_b_patch16_224,72.37783432006836,224
tnt_s_patch16_224,41.88448429107666,224
tv_densenet121,15.309610366821289,224
tv_resnet34,9.405603408813477,224
tv_resnet50,15.042128562927246,224
tv_resnet101,27.059345245361328,224
tv_resnet152,39.39030647277832,224
tv_resnext50_32x4d,19.61799144744873,224
twins_pcpvt_base,39.842286109924316,224
twins_pcpvt_large,57.495784759521484,224
twins_pcpvt_small,25.60441493988037,224
twins_svt_base,41.32200241088867,224
twins_svt_large,59.549193382263184,224
twins_svt_small,19.505457878112793,224
vgg11,11.945738792419434,224
vgg11_bn,13.961753845214844,224
vgg13,17.910609245300293,224
vgg13_bn,20.74502468109131,224
vgg16,24.683003425598145,224
vgg16_bn,27.82606601715088,224
vgg19,31.225810050964355,224
vgg19_bn,34.84102249145508,224
visformer_small,18.401570320129395,224
visformer_tiny,7.742915153503418,224
vit_base_patch16_224,47.86125659942627,224
vit_base_patch16_224_in21k,48.51545333862305,224
vit_base_patch16_224_miil,47.27492809295654,224
vit_base_patch16_224_miil_in21k,47.579379081726074,224
vit_base_patch16_384,160.89356899261475,384
vit_base_patch32_224,15.022797584533691,224
vit_base_patch32_224_in21k,15.244660377502441,224
vit_base_patch32_384,38.26492786407471,384
vit_base_r26_s32_224,26.427688598632812,224
vit_base_r50_s16_224,67.44523525238037,224
vit_base_r50_s16_224_in21k,67.1617603302002,224
vit_base_r50_s16_384,210.861554145813,384
vit_base_resnet26d_224,25.46947479248047,224
vit_base_resnet50_224_in21k,67.59238243103027,224
vit_base_resnet50_384,211.69111728668213,384
vit_base_resnet50d_224,32.10196018218994,224
vit_huge_patch14_224_in21k,452.2955894470215,224
vit_large_patch16_224,166.28146648406982,224
